Station,Station Code,Observed Range of Water Level
Chachadgaon,201215073404501,5.45
Chandwad,201530074141501,4.60
Chikhalohol,203600074380001,8.50
Dabhadi,203200074340001,3.60
Dahalewadi,195300073270001,0.35
Dahiwal,203200074413001,2.90
Dalwat,203230073493801,3.75
Deolali,195400073490001,5.80
Dhondegaon,200430073364501,1.90
Dindori,201200073490001,2.60
Gangawadi,200500073400001,0.10
Harsul,200600073230001,1.30
Jalgaon,200350074064001,10.32
Jalgaon(Ni),202400074290001,5.75
Jhodga,203950074404001,3.60
Karanjagavan,203800074323001,4.10
Karanjali,201515073350601,1.15
Khambale,194300073380001,0.65
Kokanwadi,201730074401501,6.50
Kone,200410073315001,3.50
Lakhamapur_Pz,203320074205501,1.25
Mhasrul,200248073482801,4.85
Mukhane,194830073391501,1.10
Nalegaon,201036073420001,1.50
Nampur,204330074183001,10.30
Nandgaon,201830074393001,6.75
Nandur Shirgate,194300074080001,1.95
Peth,201537073303001,1.25
Pimpalgaon Baswant,201015073590001,6.05
Raigarh Nagar,195320073414501,1.35
Raslapur,200415074053001,2.60
Ravalgaon,203800074241501,2.15
Sakora,202800073590001,11.30
Satana,203600074121501,13.55
Savargaon,202127074274001,5.15
Sinnar,195000074000001,9.00
Sogras,201800074070001,2.90
Thengode_Pz,203116074120001,7.05
Tinghri_Pz,204430074333901,3.05
Toharabad,204630074080001,17.73
Trimbakeswar,195715073313001,1.20
Vani,201945073530001,4.00
Vasali,193800073440001,8.45
Vinchur_Pz,200630074133001,2.45
