Station,Station Code,Observed Range of Water Level
Chachadgaon,201215073404501,10.40
Chandwad,201530074141501,10.60
Chikhalohol,203600074380001,9.30
Dabhadi,203200074340001,5.50
Dahalewadi,195300073270001,4.60
Dahiwal,203200074413001,8.20
Dalwat,203230073493801,4.60
Deolali,195400073490001,5.50
Dhondegaon,200430073364501,6.50
Dindori,201200073490001,9.90
Gangawadi,200500073400001,7.30
Harsul,200600073230001,2.60
Igatpuri_Pz,194142073341501,5.14
Jalgaon,200350074064001,10.80
Jalgaon(Ni),202400074290001,6.60
Jhodga,203950074404001,6.15
Karanjagavan,203800074323001,6.10
Karanjali,201515073350601,2.20
Khambale,194300073380001,7.70
Kokanwadi,201730074401501,8.60
Kone,200410073315001,6.30
Lakhamapur_Pz,203320074205501,6.10
Mhasrul,200248073482801,7.10
Mukhane,194830073391501,12.25
Nalegaon,201036073420001,3.60
Nampur,204330074183001,9.40
Nandgaon,201830074393001,9.55
Nandur Shirgate,194300074080001,7.48
Peth,201537073303001,8.20
Pimpalgaon Baswant,201015073590001,10.60
Raigarh Nagar,195320073414501,5.50
Raslapur,200415074053001,12.40
Ravalgaon,203800074241501,4.30
Sakora,202800073590001,17.20
Satana,203600074121501,17.20
Savargaon,202127074274001,2.60
Sinnar,195000074000001,12.35
Sogras,201800074070001,7.35
Thengode_Pz,203116074120001,26.50
Tinghri_Pz,204430074333901,5.30
Toharabad,204630074080001,17.73
Trimbakeswar,195715073313001,1.70
Vani,201945073530001,6.45
Vasali,193800073440001,8.80
Vinchur_Pz,200630074133001,11.25
